thread_count,node_count,p_local,min_key,max_key,count,mean,stdev,min,p50,p90,p95,p99,p999,max
2.0,10.0,50.0,1.0,1000.0,968389.0,106063.301531,6296.42793,77363.320191,107488.235077,108757.719937,109175.665643,0.0,110002.024872,110791.349673
2.0,10.0,50.0,1.0,1000.0,967796.0,105995.933974,6326.11948,77174.63306,107387.058634,108730.288207,109040.521492,0.0,109725.812634,110400.087739
2.0,10.0,50.0,1.0,1000.0,968040.0,106023.048963,1479.257399,99170.992204,106267.483612,107397.850845,107748.79837,0.0,108229.555886,108902.112429
2.0,10.0,50.0,1.0,1000.0,970030.0,106239.964048,1432.850772,99986.081792,106459.998132,107681.608616,108010.614968,0.0,108724.141261,109568.10016
2.0,10.0,50.0,1.0,1000.0,802839.0,87929.54362,4584.433332,67053.365236,88938.533128,89879.088114,90243.145357,0.0,90921.175787,91613.774829
2.0,10.0,50.0,1.0,1000.0,801966.0,87833.667829,4577.28239,66963.025627,88829.882699,89867.461833,90162.900663,0.0,90682.364368,91377.859245
2.0,10.0,50.0,1.0,1000.0,964585.0,105642.594708,6218.575973,76913.595285,107037.313298,108189.254955,108505.742451,0.0,109218.474686,110324.87361
2.0,10.0,50.0,1.0,1000.0,964306.0,105613.063321,6219.883861,76780.679479,106972.977755,108197.003143,108609.57245,0.0,109093.288648,109882.162949
2.0,10.0,50.0,1.0,1000.0,805761.0,88250.342901,1065.853269,83232.318465,88330.21666,89434.420714,89759.949256,0.0,90342.028935,90713.043529
2.0,10.0,50.0,1.0,1000.0,805551.0,88227.601027,1045.699712,83113.813661,88327.418416,89388.853401,89719.490379,0.0,90110.577385,91022.34703
2.0,10.0,50.0,1.0,1000.0,992859.0,108740.381542,1043.038233,102974.959287,108749.881083,109989.336842,110367.822552,0.0,111053.964781,112067.692519
2.0,10.0,50.0,1.0,1000.0,993206.0,108778.135101,1020.492885,102926.943,108791.052617,110003.27287,110316.429285,0.0,111069.208095,111730.870014
2.0,10.0,50.0,1.0,1000.0,968868.0,106112.119161,1538.024771,99708.330431,106384.620342,107667.388746,107931.534765,0.0,108623.389268,109370.531295
2.0,10.0,50.0,1.0,1000.0,967701.0,105983.113833,1563.702815,99578.158961,106266.100289,107534.232789,107868.410346,0.0,108501.924095,109052.224484
2.0,10.0,50.0,1.0,1000.0,972998.0,106566.140955,6178.156785,78713.123854,107938.382344,109236.237119,109602.545031,0.0,110367.47555,111539.78449
2.0,10.0,50.0,1.0,1000.0,972092.0,106466.516914,6161.463277,78680.859195,107844.174971,109048.751052,109412.975326,0.0,110070.386925,110867.533455
2.0,10.0,50.0,1.0,1000.0,816046.0,89375.870627,864.348934,85576.921855,89366.923804,90472.123833,90861.856937,0.0,91320.171972,92144.499989
2.0,10.0,50.0,1.0,1000.0,816430.0,89418.828951,862.586149,85922.321685,89418.880661,90561.5451,90842.545094,0.0,91278.879775,91893.053194
2.0,10.0,50.0,1.0,1000.0,891948.0,97696.995694,1118.945536,83155.742263,97769.175864,98762.509388,99067.908874,0.0,99720.718472,99998.366633
2.0,10.0,50.0,1.0,1000.0,890517.0,97538.711859,1072.012713,83646.144512,97635.231147,98656.439071,98898.476219,0.0,99650.289199,99911.548361
2.0,10.0,50.0,1.0,1000.0,915096.4,100224.79382795,3033.4578108,85431.76650215001,100810.17702665001,101972.76932875,102307.3452729,0.0,102935.29262970001,103658.59078135
