thread_count,node_count,p_local,min_key,max_key,count,mean,stdev,min,p50,p90,p95,p99,p999,max
1.0,10.0,50.0,1.0,1000.0,1064856.0,8431.431159,4180.949113,4081.0,12350.0,12570.0,12649.0,0.0,12826.0,19119.0
1.0,10.0,50.0,1.0,1000.0,1028194.0,8682.324879,4272.772771,4130.0,7600.0,12645.0,15522.0,0.0,15738.0,16112.0
1.0,10.0,50.0,1.0,1000.0,1062967.0,8511.39372,4184.634331,4006.0,12281.0,12502.0,12586.0,0.0,15415.0,18492.0
1.0,10.0,50.0,1.0,1000.0,1469711.0,6021.501809,1890.894607,3997.0,7128.0,7745.0,7794.0,0.0,10655.0,11072.0
1.0,10.0,50.0,1.0,1000.0,1041078.0,8579.690821,4227.672226,4130.0,7652.0,12646.0,12716.0,0.0,15817.0,22555.0
1.0,10.0,50.0,1.0,1000.0,1055065.0,8430.949275,4262.293024,4053.0,7268.0,12564.0,12644.0,0.0,15604.0,18818.0
1.0,10.0,50.0,1.0,1000.0,1475220.0,6094.256936,1799.748623,4061.0,7632.0,7818.0,7918.0,0.0,8320.0,11787.0
1.0,10.0,50.0,1.0,1000.0,1458080.0,6268.148372,1930.745173,4068.0,7657.0,7837.0,7945.0,0.0,10835.0,16003.0
1.0,10.0,50.0,1.0,1000.0,1069707.0,8260.615942,4215.346959,3975.0,7085.0,12448.0,12541.0,0.0,15382.0,18509.0
1.0,10.0,50.0,1.0,1000.0,1280008.0,6907.596618,1776.211496,4958.0,8481.0,8734.0,8767.0,0.0,8901.0,9692.0
1.0,10.0,50.0,1.0,1000.0,1200488.6,7618.7909531,3274.1268323,4145.9,8513.4,10750.9,11108.2,0.0,12949.3,16215.9
