thread_count,node_count,p_local,min_key,max_key,count,mean,stdev,min,p50,p90,p95,p99,p999,max
1.0,10.0,50.0,1.0,1000.0,1045560.0,114514.133192,7328.640133,81635.451991,116126.463897,118132.922329,118733.376306,0.0,119892.867872,120567.860095
1.0,10.0,50.0,1.0,1000.0,1049025.0,114891.263844,7464.679662,81017.080995,116461.353984,118751.593258,119284.914604,0.0,120329.08098,122807.964133
1.0,10.0,50.0,1.0,1000.0,1064787.0,116617.244334,1781.81496,102780.176537,116697.423001,118786.686628,119350.146626,0.0,120255.435251,121423.849822
1.0,10.0,50.0,1.0,1000.0,1479243.0,162011.827986,12464.470003,106645.472995,164873.321272,166484.650715,166759.401606,0.0,167456.510773,168732.075622
1.0,10.0,50.0,1.0,1000.0,1044816.0,114430.652332,7439.445993,80833.314357,116075.536042,118127.724559,118790.712363,0.0,119747.887153,120962.743566
1.0,10.0,50.0,1.0,1000.0,1047531.0,114731.17223,7519.653518,80018.653499,116265.09641,118614.345045,118972.21808,0.0,120250.273036,121276.661363
1.0,10.0,50.0,1.0,1000.0,1440619.0,157781.243484,12497.666682,101926.63116,160628.559176,162104.507005,162494.889677,0.0,163077.804193,165136.84967
1.0,10.0,50.0,1.0,1000.0,1464228.0,160365.405306,1826.248349,143362.549998,160593.221186,162122.955139,162562.995431,0.0,163638.908195,164282.766402
1.0,10.0,50.0,1.0,1000.0,1064041.0,116535.023922,2484.262086,102717.942157,116817.718214,119003.171298,119534.018819,0.0,120701.703437,122283.570789
1.0,10.0,50.0,1.0,1000.0,1301175.0,142506.901198,1339.854084,124074.557645,142594.970521,143808.969394,144049.031166,0.0,144603.970754,145176.464308
1.0,10.0,50.0,1.0,1000.0,1200102.5,131438.4867828,6214.673547,100501.1831334,132713.3663703,134593.752537,135053.17046780002,0.0,135995.4441644,137265.080577
