thread_count,node_count,p_local,min_key,max_key,count,mean,stdev,min,p50,p90,p95,p99,p999,max
1.0,10.0,50.0,1.0,1000.0,1153913.0,126378.021082,6966.36302,94609.215863,127823.669837,130263.304228,131073.884796,0.0,132446.841851,133535.467238
1.0,10.0,50.0,1.0,1000.0,1132102.0,123990.157594,7176.623396,91026.345184,125471.095391,127767.393652,128508.954226,0.0,129615.992653,132883.714669
1.0,10.0,50.0,1.0,1000.0,1139024.0,124746.464251,7098.421471,91197.226298,126162.060207,128680.309018,129263.339763,0.0,130716.306282,132894.427941
1.0,10.0,50.0,1.0,1000.0,1621641.0,177607.275383,12839.187384,119974.349811,180470.512407,182495.337743,182943.921965,0.0,183743.487915,184396.127209
1.0,10.0,50.0,1.0,1000.0,1145585.0,125462.091345,7130.149005,92807.963977,126882.821264,129344.825766,130156.698492,0.0,131369.692576,133097.579514
1.0,10.0,50.0,1.0,1000.0,1140287.0,124889.70119,7145.153283,92342.211718,126379.61003,128905.351359,129438.052772,0.0,130778.633278,131968.300398
1.0,10.0,50.0,1.0,1000.0,1654625.0,181219.942346,12664.880657,125141.862231,184056.241628,185932.769688,186406.896746,0.0,187056.880638,188289.295518
1.0,10.0,50.0,1.0,1000.0,1632972.0,178847.83934,12696.135022,121704.991638,181616.010178,183604.975122,184233.582395,0.0,184993.672726,186070.282805
1.0,10.0,50.0,1.0,1000.0,1143277.0,125212.923051,7078.036873,93142.803245,126647.829998,129081.264553,129965.374354,0.0,131084.513745,132334.933727
1.0,10.0,50.0,1.0,1000.0,1472840.0,161308.896331,1608.298028,133700.639458,161353.693016,162747.438317,163088.210029,0.0,163982.504901,164800.96538
1.0,10.0,50.0,1.0,1000.0,1323626.6,144966.3311913,8240.3248139,105564.76094230001,146686.3543956,148882.2969446,149507.8915538,0.0,150578.8526565,152027.1094399
