thread_count,node_count,p_local,min_key,max_key,count,mean,stdev,min,p50,p90,p95,p99,p999,max
1.0,10.0,50.0,1.0,1000.0,1154106.0,126398.946033,6901.179513,94430.736416,127801.322911,130280.798245,131069.795483,0.0,132075.718329,133076.735952
1.0,10.0,50.0,1.0,1000.0,1168758.0,128003.615853,1972.842724,114326.405153,128046.829384,130457.395803,131251.642347,0.0,132167.665994,133419.377192
1.0,10.0,50.0,1.0,1000.0,1155400.0,126541.47272,6912.069559,94658.1579,128044.426512,130256.376159,131008.529627,0.0,131811.026351,133411.294141
1.0,10.0,50.0,1.0,1000.0,1683578.0,184388.853378,3082.312851,166330.948106,184830.39291,186858.004903,187280.136571,0.0,188237.302495,188859.093947
1.0,10.0,50.0,1.0,1000.0,1158468.0,126878.076184,2043.980618,113514.597968,126944.876321,129294.126705,129974.895707,0.0,131249.938122,134255.846801
1.0,10.0,50.0,1.0,1000.0,1150221.0,125973.200437,6965.873389,94319.011747,127445.103294,129725.781682,130428.674064,0.0,131649.358693,132434.796499
1.0,10.0,50.0,1.0,1000.0,1656923.0,181470.933377,2549.579657,163962.510871,181853.771773,183758.492472,184201.572471,0.0,184965.855358,185594.404006
1.0,10.0,50.0,1.0,1000.0,1646991.0,180382.326819,12658.220206,123254.839,183337.20964,185067.917291,185381.543555,0.0,186068.086208,186994.483708
1.0,10.0,50.0,1.0,1000.0,1158377.0,126867.27943,1882.115061,117911.255215,126855.453836,129160.138694,129896.595593,0.0,131129.522483,132634.657563
1.0,10.0,50.0,1.0,1000.0,1469836.0,160979.54888,1597.233712,133433.835335,161054.849344,162451.243061,162779.89199,0.0,163439.308144,164054.675808
1.0,10.0,50.0,1.0,1000.0,1340265.8,146788.4253111,4656.540729,121614.22977110001,147621.42359249998,149731.02750149998,150327.3277408,0.0,151279.3782177,152473.5365617
